0,1,2,3,4,5,6,7,8
,Phase,,,Impact/Issue,,,Mitigation Measure,
,,,,,,discharge,,
,,,"During renovation of existing facilities health
facilities, construction workers may be
infected by COVID-19 from patients",,,"• Renovation works to be completed
before placement of COVID-19 infected
patients in the facility.
• Construction areas to be separated
completely from other areas of the
hospital or HCF under
construction/renovation. In case
renovation works continue during
presence of COVID-19 infected patients,
all workers will have three days prior
training, awareness about community
transmission, social distancing, WHO
certified PPE for each worker for each
day, PPE discarding separate areas,
separate washing areas and subsequent
designated disposal sites for PPE for
incineration.",,
,,,"Pedestrian safety and security risks
particularly for the children, elderly, and
persons with disability, and traffic congestion",,,"• Contractor to provide temporary fence
enclosing work sites
• Speed limits will be imposed and to
designate a traffic signal person
• Provide temporary crosswalk for mobility
challenges",,
,,,"Interruption of public services such as water,
electricity, telephone, and transport routes.",,,"• Contractor to coordinate with local
authorities and notify them if there is a
need to interrupt services",,
,,,"Inform local government units on the
schedule of civil works, possible interruption
of services, etc.",,,"• Contractor to provide clear and visible
signs on the schedule of construction
activities",,
Post Construction/Operation,,,"Health hazards arising from inadequate
design of facilities for receiving, storing, and
handling of chemicals, medical/clinical
wastes and other hazardous wastes",,,"• Qualified design team will evaluate
existing facilities and will address
probable volumes, sorting areas of
hazardous and non-hazardous,
medical/clinical wastes at sources and
subsequent disposal under site-specific
EHS plan",,
,,,"Health hazards arising from inadequate
design of facilities for receiving, storing, and
handling of chemicals, medical/clinical
wastes and other hazardous wastes",,,"• Qualified design team will evaluate
existing facilities and will address
probable volumes, sorting areas of
hazardous and non-hazardous,
medical/clinical wastes at sources and
subsequent disposal under site-specific
EHS plan",,
,,,"Risks and vulnerabilities related to
occupational health and safety due to
physical, chemical, biological, and
radiological hazards during project operation",,,"• Implement site-specific EHS plan
• Use of WHO-certified PPE for protection
from COVID-19 infection
• prior health safety training to workers
• Segregation of wastes at sources in
specific bins
• Time-bound transfer of wastes to
designated waste disposal sites
• Routine health checkup of health workers",,
