0,1,2
Name of institution,"Year of
establishment",No. of seats
"Comilla Institute of Technology and MATS, Thakurpara, Comilla
Chittagong Institute of Medical Technology, Chittagong
Moynamoti Medical Assistant Training School, Comilla
Noakhali Paramedical Centre (NPCMATS)
Brahmanbaria Medical Assistant Training School, Brahmanbaria
Chandpur Medical Assistant Training School, Chandpur","2008
2011
2011
2011
2011
2011","75
50
50
50
50
50"
"AR Medical Assistant Training School, Mohammadpur, Dhaka
Advance Medical Assistant Training School, Green Road, Dhaka
Bangladesh Medical Assistant Training School, Uttara, Dhaka
Dhaka Medical Assistant Training School, Mirpur, Dhaka
New Pilot Medical Assistant Training School, TangailSadar
Rabeya Medical Assistant Training School, Savar, Dhaka
Rampura Medical Assistant Training School, Rampura, Dhaka
Rumdo Medical Assistant Training School, Mymensingh
SAIC Institute of Medical Assistant, Mirpur, Dhaka
SIMT Medical Assistant Training School, Kalabagan, Dhaka
Spark SIMT Medical Assistant Training Academy, Mirpur, Dhaka
SPKS Medical Assistant Training School, Mirpur, Dhaka
Sumona Medical Assistant Training School, Sadarghat, Dhaka
The Medical Assistant Training School, Mirpur, Dhaka
Trauma Medical Assistant Training School, Mohammadpur, Dhaka
Institute of Medical Assistants, Faridpur
Eden Medical Assistant Training School, Mirpur, Dhaka
Tangail Medical Assistant Training School, KumudiniCollege Road, Tangail
Shyamoly Medical Assistant Training School, Mohammadpur, Dhaka
Taleb Ali Medical Assistant Training School, Natun Bazar, Mymensingh
Rajbari Community Medical Assistant Training School, Rajbari
National IM&DT MATS, Mohammadpur, Dhaka
Prince Medical Assistant Training School, Saver, Dhaka
Khondoker Abdul Mannan Medical Institute (MATS), Kishoreganj
Reliable Medical Assistant Training School, Mirpur, Dhaka
Dr. Halima Khatun Medical Assistant Training School, Mymensingh
Jashimuddin Medical Assistant Training School, New College Road, Jamalpur
Shahid SA Memorial Medical Institute, Uttara, Dhaka
Paramedical Institute, Chandona, Gazipur","2008
2010
2009
2009
2008
2009
2008
2008
2008
2008
2008
2008
2008
2007
2008
2010
2010
2010
2010
2010
2010
2010
2010
2010
2011
2011
2011
2011
2011","75
100
50
100
50
75
80
75
40
100
60
75
60
125
100
50
50
125
100
50
50
50
50
50
50
50
50
50
50"
