0,1,2,3,4,5,6,7,8
"Med.
coll.
hosp.","District
hosp.","Upazila
health
complex",MCWC,"Total in govt.
facility",NGO,"Private
clinic/
hosp.",Other,"Total in non-
govt. facility"
No.,No.,No.,No.,No. No.,"% of
total",No.,No.,"% of
No.
total"
"116445
135052
53333
38711
1809
1627
46801
88948
86490
4435
7203
8716
474
49504
778
4972","287976
193026
79622
60154
267
1204
35433
97058
93521
4520
8775
8796
7193
133916
516
385","720486
258058
72563
143346
1611
1280
24008
170245
168174
5510
6464
5201
28750
258127
904
679","200956
35075
5198
25280
310
362
5689
31641
31459
632
187
1104
1263
51347
122
10","6119 1331982
3354 624565
455 211171
1973 269464
0 3997
13 4486
87 112018
2073 389965
2050 381694
72 15169
23 22652
0 23817
229 37909
2029 494923
0 2320
2 6048","71.7
72.5
71.6
78.2
83.9
73.9
45.9
65.1
64.6
89.4
88.7
78.7
87.6
70.8
87.3
91.7","216560
47640
12252
27084
401
261
14941
42687
42233
605
459
450
1300
46731
228
318","307928
188808
71430
47868
366
1323
117164
166721
166497
1200
2418
5991
4084
157397
108
226","524488 28.3
236448 27.5
83682 28.4
74952 21.8
767 16.1
1584 26.1
132105 54.1
209408 34.9
208730 35.4
1805 10.6
2877 11.3
6441 21.3
5384 12.4
204128 29.2
336 12.7
544 8.3"
