0,1,2,3,4,5,6,7,8
Unit,Barisal,Chittagong,Dhaka,Khulna,Rajshahi,Rangpur,Sylhet,Total
"No.
%","5743
3.8","22939
15.0","44833
29.3","33672
22.0","21803
14.3","8509
5.6","15297
10.0","152796
100.0"
"No.
%","16702
4.1","73806
17.9","131196
31.9","48238
11.7","74606
18.1","31239
7.6","35834
8.7","411621
100.0"
"No..
%","79102
4.5","302642
17.0","534295
30.1","234995
13.2","347867
19.6","142856
8.0","134935
7.6","1776692
100.0"
"No..
%","34859
5.2","135023
20.3","185360
27.9","83734
12.6","97489
14.7","58390
8.8","70452
10.6","665307
100.0"
"No.
%","292
2.9","4478
45.2","2245
22.7","1577
15.9","565
5.7","603
6.1","147
1.5","9907
100.0"
"No..
%","59522
5.6","173353
16.2","363421
34.0","126794
11.9","176507.4
16.5","92511
8.7","76350
7.1","1068458
100.0"
"No.
%","7
2.0","152
42.6","144
40.3","26
7.3","21
5.9","7
2.0","0
0.0","357
100.0"
"No.
%","1284
2.0","2577
42.6","2987
40.3","799
7.3","1414
5.9","370
2.0","560
0.0","9991
100.0"
"No.
%","10736
12.9","27211
25.8","61186
29.9","19777
8.0","41672
14.2","17992
3.7","21231
5.6","199805
100.0"
"No.
%","27
5.4","152
13.6","121
30.6","93
9.9","309
20.9","41
9.0","84
10.6","827
100.0"
"No.
%","47
3.3","73
18.4","233
14.6","210
11.2","76
37.4","100
5.0","104
10.2","843
100.0"
"No.
%","0
5.6","63
8.7","398
27.6","4
24.9","58
9.0","11
11.9","1
12.3","535
100.0"
"No.
%","61337
0.0","159312
11.8","320693
74.4","134474
0.7","164968
10.8","67087
2.1","90773
0.2","998644
100.0"
"No.
%","269658
5.1","901781
17.0","1647112
31.1","684393
12.9","927355
17.5","419716
7.9","445768
8.4","5295783
100.0"
