0,1,2
Site,Frequency,Percent
Cervix,861,77.4
Ovary,92,8.3
Uterus,70,6.3
Tubo-ovarian & Utero-ovarian,50,4.5
Adenexa,20,1.8
Vagina,18,1.6
Vulva,01,0.1
Placenta,01,0.1
Total,1113,100.0
,,
