0,1,2,3
Primary site of tumour,Sex,,Total
,Male,Female,
Oesophagus,324 (25.3),134 (20.3),458 (23.6)
Gastric antrum,1 (0.1),3 (0.4),4 (0.2)
Stomach,304 (23.7),108 (16.4),412 (21.2)
Duodenum,0 (0.0),3 (0.4),3 (0.1)
Jejunum,2 (0.2),0 (0.0),2 (0.1)
Ileum,4 (0.3),3 (0.4),7 (0.3)
Cecum,4 (0.3),2 (0.3),6 (0.3)
Ascending colon,0 (0.0),1 (0.1),1 (0.0)
Hepatic flexure,4 (0.3),3 (0.4),7 (0.3)
Sigmoid colon,2 (0.2),0 (0.0),2 (0.1)
Colon,93 (7.2),46 (6.7),139 (7.1)
Rectum,184 (14.3),113 (17.1),297 (15.3)
Anus,0 (0.0),2 (0.3),2 (0.1)
Anal canal,10 (0.8),13 (1.9),23 (1.2)
Liver,223 (17.4),88 (13.3),311 (16.0)
Gall blader,91 (7.1),123 (18.6),214 (11.0)
Ampula of vater,3 (0.2),1 (0.1),4 (0.2)
Head of pancrease,5 (0.4),2 (0.3),7 (0.3)
Pancreas,23 (1.8),9 (1.3),32 (1.6)
Total,1282 (100.0),660 (100.0),1942 (100.0)
