0,1
Title,"Joint UNICEF Bangladesh – Government of
Bangladesh Nutrition Programme Mid-Term
Evaluation 2017-2020"
Geographic Region of the Programme,Nationwide
Timeline of the Evaluation,April 2019 – January 2020
Date of the Report,January 2020
Country,Bangladesh
Evaluators,"Rahul Agrawal, Malay Das, Farzana Ishrat,
Toufique Ahemd, Ankita Singh, Mrinalini
Mazumdar"
"Name of the Organization Commissioning the
Evaluation","UNICEF Bangladesh, Government of Bangladesh"
