0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Item,,,Y2003,,,Y2004,,,Y2005,,Y2006,,,Y2007,,,Y2008,
,Total Blood Sample,,,71,,,616,,,1834,,411,,,587,,,788,
,Measles Positive,,,59,,,404,,,769,,170,,,06,,,16,
