0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,Rajshahi Division,Rajshahi Division,,,,,,,,
"Kurigram (9) Thakurgaon
(5)",,,,,,Rangpur (8),,,Nilphamari (6),,Gaibandha (7),,Bogra (11),,Dinajpur (13)
,Sadar,,,Sadar,,,Sadar,,Jaldhaka,,,Sadar,,Kahaloo,Sadar
Rajarhat,,,Pirganj,,,Mithapukur,,,Sadar,,Gobindagonj,,Gabtali,,Chirirbandar
,Nageshwari,,,Baliadangi,,,Pirgonj,,Kishoregonj,,,Shadullapur,,Sadar,Khansama
Rowmari,,,Ranishankail,,,Pirgacha,,,Saidpur,,Sundargonj,,Adamdighi,,Bochaganj
,Char Rajibpur,,,Haripur,,,Kaunia,,Domar,,,Fulchari,,Sherpur,Kaharool
Phulbari,,,Sirajgonj (9),,,Taragonj,,,Dimla,,Polashabri,,Sonatola,,Birganj
Bhurungamari,,,Shahajadpur,,,Badargonj,,,"C'nawabganj
(5)",,Shaghata,,Shariakandi,,Biroil
Chilmari Ulipur,,,Sadar,,,Gongachara,,,Sadar,,Naogaon (11),,Dhunat,,Parbotipur
,,,,Kamarkhand,,,Joypurhat (5),,Gomostapur,,,Sapahar,,Dhupchachia,Fulbaria
Natore(6),,,Ullapara,,,Sadar,,,Nachole,,Dhamairhat,,Nandigram,,
,Sadar,,,Raigonj,,,Akkelpur,,Bholahat,,,Patnitala,,Shibgonj,
Gurudaspur,,,Belkuchi,,,Kalai,,,Shibganj,,Porsha,,,,
Singra,,,Kazipur,,,Khetlal,,,"Panchagarh
(5)",,Badalgachi,,,,
Baraigram,,,Tarash,,,Panchbibi,,,Sadar,,Mohadebpur,,,,
,Bagatipara,,,Chowhali,,,,,Tetulia,,,Niamatpur,,,
Lalpur,,,,,,,,,Boda,,Manda,,,,
Lalmonirhat (5),,,,,,,,,Atwari,,Sadar,,,,
Hatibanda,,,,,,,,,Debigonj,,Raninagar,,,,
,,,,,,,,,,,Atrai,,,,
