0,1,2,3,4,5,6,7,8
COVID-19 Response Questions,DMCH,RMCH,CuMCH,MMCH,,MC at,,Remarks
,,,,,,Akhaura,,
,,,,,,Land Port,,
"At the start and end of the day disinfect the total
worksite.",PC,FC,PC,FC,FC,,,"Contractor is
advised to
ensure"
"Encourage site personnel/camp dwellers to not
touch their eyes, mouth or nose if not washed
thoroughly with soap recently. Also discourage
hand shaking or hugs.",PC,FC,PC,PC,FC,,,"Workers are
advised to follow
the rules"
"Arrange a mandatory site brief on COVID
awareness in the morning. The session must be
conducted by the EHS/medical professional.",PC,PC,PC,PC,PC,,,"Contractor’s
Focal Person is
advised to
ensure it in daily
toolbox meeting"
"While worksites are commonly well ventilated (if
not make sure the work sites are well ventilated),
ensure that the camp sites including the rooms
designated for the camp dwellers are well
ventilated and spacious.",PC,FC,FC,FC,FC,,,"Contractor is
advised to
ensure"
"Discourage site personnel to gather and gossip at
any time, rather encourage physical distance while
chatting/discussing.",FC,FC,FC,FC,FC,,,
"Restrict worksite personnel to go outside
unnecessarily. Also restrict campsite personnel to
go outside without any valid cause.",FC,FC,FC,FC,FC,,,
"If any person related at worksite/campsite fall
victim to COVID-19 or being kept isolated for pre-
caution, consider paid leave with no exception
allowed.",No,No,No,No,No,,,
"Train workers on how to properly put on, use/wear,
and take off protective clothing and equipment. The
on-site EHS/Medical person should be in-charge of
these trainings. These trainings must maintain the
WHO’s social distancing protocol. Make these
trainings mandatory at worksites. Provide 10-15
minutes of a workday for such ‘training and
encouragement’ activities.",FC,FC,FC,FC,PC,,,"Contractor’s
Focal Person is
advised to
ensure it in daily
toolbox meeting"
