0,1,2,3,4,5,6,7,8,9,10,11,12
,22,,360,,1017,,931,,329,,112,
,387,,,,,,,,,,,
,,,,,,,,,,,532,
,,,541,,,,,,,,1401,
,714,,,,,,,,366,,,
,,,,,,,849,,,,,
,,,,,616,,,,,,,
,,,329,,,,647,,,,,
,,,,,488,,,,207,,,
