0,1,2
Division,2019,2020
BARISAL,950,447
CHITTAGONG,2667,1267
DHAKA,2954,1426
KHULNA,1768,813
MYMENSINGH,565,208
RAJSHAHI,1200,692
RANGPUR,922,446
SYLHET,607,209
Grand Total,11633,5508
