0,1,2,3,4,5,6
,National priorities: (a) boosting production and income and reducing poverty; and (b) better governance to defend rights and the tenets of justice,,,,,
,"UNDAF outcome: (a) by 2016, all Bangladeshis, including vulnerable groups, are better represented and participate more in the democratic process; and (b) by 2016, vulnerable",,,,,
,and poor people in disadvantaged rural and urban areas benefit from accelerated economic growth,,,,,
"Programme
component",,"Country programme outcomes,
indicators, baselines and targets","Country programme outputs, indicators, baselines and targets",Partners,"Indicative
resources by
programme
component",
"Population
and
development",,"Outcome 1: Government and non-
government stakeholders are better
able to accelerate national
development, with a focus on
achieving the Millennium
Development Goals and pro-poor
growth
Outcome indicators:
Number of revised policies approved
that are aligned with international
frameworks on women’s rights
Number of national and sectoral
plans that are evidence-based, gender-
sensitive, and incorporate population
and development linkages","Output 1: Strengthened national capacity to collect and analyse data
disaggregated by sex, age, economic status and location
Output indicators:
Population data, disaggregated by sex, age, economic status and location,
are available through the census and other surveys
Regularly updated nationally representative data on gender-based violence
and harmful practices are available
Output 2: Increased capacity to integrate population and gender concerns,
including emerging issues, into national and sectoral plans and policies
Output indicators:
% of parliamentarians and Secretariat staff who are knowledgeable about
population and development linkages and gender equality
Training programme for civil servants that incorporates population and
development issues is established and operational at the public administration
training centre
Number of research papers that contain policy implications and
recommendations on emerging issues, such as demographic dividend","Ministry of
Establishment;
Ministry of
Planning;
Parliament
Secretariat;
Planning
Commission
Civil society
organizations;
NGOs;
research institutes
UNDP","$9 million
($5 million
from regular
resources and
$4 million
from other
resources)",
,National priorities: realizing gender equality,,,,,
,UNDAF outcome: (a) increased participation of marginalized and disadvantaged women in selected districts and urban slums in wage employment and any other income-generating,,,,,
,"activities; and (b) social and institutional vulnerabilities of women, including the marginalized and disadvantaged, are reduced",,,,,
"Gender
equality",,"Outcome 1: Social and institutional
vulnerabilities of women, including the
marginalized and disadvantaged, are
reduced
Outcome indicators:
Median age at marriage for women
and girls*
% of women and girls, aged 15-49,
who have experienced any forms of
violence during the past 12 months*
* disaggregated by wealth quintiles,
residence, and age group","Output 1: Increased awareness and knowledge of and positive attitudes
towards reducing the vulnerability of women, including the incidence of
violence against women and early marriage
Output indicators:
% of males aged 10-60 and females aged 10-49 in selected areas who are
aware of the negative effects of violence against women
% of males aged 10-60 and females aged 10-49 in selected areas who agree
that a husband is justified in beating his wife for at least one reason
Output 2: By 2016, increased availability of and access to shelters; medical,
psychological and legal support; and vocational training for survivors of
gender-based violence in selected districts
Output indicators:
Number of functional women’s support centres that provide services for
survivors of gender-based violence per district in selected areas
Number of health facilities that provide screening and referrals services for
survivors of gender-based violence","Ministries of:
Education; Health
and Family Welfare;
Home Affairs; and
Women’s and
Children’s Affairs
Civil society
organizations;
media; NGOs;
private sector
International Labour
Organization;
International
Organization for
Migration;
UNDP; UNICEF;
UN-Women; WHO","$13 million
($7 million
from regular
resources and
$6 million
from other
resources)
Total for
programme
coordination
and
assistance:
$2 million
from regular
resources",
