0,1,2,3,4,5,6
,National priorities: (a) securing human resource development; (b) promoting environmental sustainability,,,,,
,"UNDAF outcomes: (a) increased and more equitable utilization of quality health, population, education, water, sanitation, and HIV services for the deprived population in selected areas,",,,,,
,"with particular attention to women, children and youth; (b) by 2016, populations vulnerable to climate change and natural disasters become more resilient to adapt to the risks",,,,,
"Programme
component",,"Country programme outcomes,
indicators, baselines and targets","Country programme outputs, indicators, baselines and targets",Partners,"Indicative
resources by
programme
component",
"Reproductive
health and
rights",,"Outcome 1: Increased and equitable
utilization of high-quality sexual and
reproductive health and HIV
information and services, with a focus
on family planning and skilled care
Outcome indicators:
% of deliveries attended by skilled
providers*
Contraceptive prevalence rate
(modern methods)*
Adolescent birth rate (number of
births per 1,000 women aged 15-19)
% of populations that are most at
risk (brothel-based sex workers and
their clients) and young people
reporting using condoms during last
sexual intercourse
* disaggregated by wealth quintiles,
residence and age groups
Outcome 2: Increased availability in
emergencies and in early-recovery
settings of gender-sensitive, high-
quality reproductive health services
and services to combat gender-based
violence
Outcome indicator:
% of population affected by natural
disasters with access to a
comprehensive minimum initial
service package","Output 1: Improved quality and accessibility of sexual and reproductive health
information and services, with a focus on family planning and skilled care, in
selected districts, urban areas and refugee camps
Output indicators:
Number of maternal and child welfare centres and comprehensive reproductive health
care centres providing emergency obstetric care 24 hours a day, seven days a week
Number of district hospitals and upzila (subdistrict) health complexes with the
minimum required number of certified midwives
% of public service delivery points providing at least three modern family planning
methods, including one long-term or permanent method, at a given point in time
Number of health facilities accredited as adolescent-friendly centres that offer
services to young people, including the unmarried
Output 2: Improved knowledge and awareness of, and attitudes towards, sexual and
reproductive health and rights and HIV, among service providers and community
members, including young people, in selected districts, urban areas and refugee camps
Output indicators:
% of women aged 15-49 years who gave birth in the two years preceding the survey
and who know the danger signs of pregnancy (bleeding, high fever, prolonged labour,
convulsion, headache and blurred vision)
% of adolescents who have comprehensive knowledge of adolescent sexual and
reproductive health and HIV issues, including the legal age of marriage, the risk of
early pregnancy, family planning methods and HIV prevention
% of brothel-based sex workers and their clients who have comprehensive knowledge
of HIV modes of transmission and prevention
Output 3: Strengthened national capacity for emergency preparedness and response in
order to address reproductive health and gender issues, including gender-based
violence, during natural disasters
Output indicators:
Reproductive health and gender issues are incorporated into the national emergency
preparedness and response plan
Estimated coverage of reproductive health kits distributed during emergencies","Ministries of:
Education;
Food and Disaster
Management;
Health and
Family Welfare;
Local
Government,
Rural
Development and
Cooperatives;
other relevant
ministries
Relevant
development
partners
Civil society
organizations;
NGOs;
private sector
United Nations
Children’s Fund
(UNICEF);
World Food
Programme;
World Health
Organization
(WHO)","$46 million
($26 million
from regular
resources and
$20 million
from other
resources)",
