0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,Measles Cases,,,,,,Rubella Cases,,,,Discarded Cases,,,,,Incidence,,Discarded Rate
n,,s,"Lab
confirmed",,"E p i -
linked","C l i n i cally
compatiblae",,Total,"Lab
confirmed",,"E p i -
linked",Total,"Both
Negative
(Discarded)",,"Epi-
linked
(Discarded)",Total,"n
o
ita
c
ifis
sa
lc","Incidence per 1
million
population",,"Non-measles
non-rubella
discarded rate
per 100,000
pop"
"o
is
iv
iD",District,"e
sa
c
la
to
T","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
s
e
lsa
e
m
la
to
T","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
a
lle
b
u
r
la
to
T","s
e
sa
c
c
id
a
ro
p
S","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","sk
a
e
rb
tu
o
m
o
rf
s
e
sa
C","s
e
sa
c
d
e
d
ra
c
s
id
la
to
T","ro
f
g
n
id
n
e
p
s
e
sa
C","s
e
lsa
e
M","a
lle
b
u
R","s
u
ta
ts
tc
ir
tsiD"
"L
A
S
IR
A
B",BARGUNA,135,60,2,2,4,0,64,1,0,0,1,67,3,0,70,0,61.5,1.0,6.73
,BARISAL,134,38,8,6,5,0,52,2,0,0,2,66,13,0,79,0,22.4,0.9,3.40
,BARISAL CC.,49,10,8,7,1,0,25,1,0,0,1,12,11,4,23,0,65.4,2.6,6.01
,BHOLA,159,40,6,5,7,0,51,0,0,0,0,103,5,0,108,0,24.6,0.0,5.22
,JHALAKATI,143,76,9,2,2,0,87,3,0,0,3,49,4,0,53,0,109.4,3.8,6.66
,PATUAKHALI,249,127,13,9,18,0,149,2,0,0,2,86,12,3,98,0,83.3,1.1,5.48
,PEROJPUR,81,21,0,0,1,0,21,3,0,0,3,49,8,3,57,0,16.2,2.3,4.39
,BARISAL,950,372,46,31,38,0,449,12,0,0,12,432,56,10,488,0,46.3,1.2,5.03
"G
N
O
G
A
T
T
IH
C",BANDARBAN,103,24,5,12,2,19,41,0,0,0,0,17,45,34,62,0,90.6,0.0,13.70
,BRAHMANBARIA,252,40,6,39,5,15,85,2,0,0,2,86,64,41,150,0,25.7,0.6,4.53
,CHANDPUR,193,98,0,0,14,21,98,3,1,0,4,57,9,0,66,0,34.8,1.4,2.34
,CHITTAGONG,323,111,9,29,17,0,149,2,1,0,3,64,107,78,171,0,25.4,0.5,2.92
,CHITTAGONG CC.,167,101,1,0,15,0,102,0,0,0,0,24,41,27,65,0,33.9,0.0,2.16
,COMILLA,480,116,15,59,14,0,190,6,0,0,6,124,159,127,283,0,32.2,1.0,4.80
,COMILLA CC.,35,13,0,0,1,0,13,1,0,0,1,21,0,0,21,0,34.2,2.6,5.52
,COX'S BAZAR,312,129,7,35,4,8,171,0,1,0,1,53,79,48,132,0,64.1,0.4,4.95
,FENI,102,44,0,0,4,0,44,0,0,0,0,58,0,0,58,0,26.3,0.0,3.46
,KHAGRACHARI,55,18,0,0,1,0,18,1,0,0,1,36,0,0,36,0,25.2,1.4,5.03
,LAKSHMIPUR,343,175,32,40,23,19,247,5,0,0,5,51,26,0,77,0,122.6,2.5,3.82
,NOAKHALI,230,124,2,5,20,0,131,2,0,0,2,94,3,0,97,0,36.2,0.6,2.68
,RANGAMATI,72,52,0,0,5,0,52,0,0,0,0,20,0,0,20,0,74.9,0.0,2.88
,CHITTAGONG,2667,1045,77,219,125,82,1341,22,3,0,25,705,533,355,1238,0,40.5,0.8,3.74
"A
K
A
H
D",DHAKA,286,146,0,0,27,0,146,0,0,0,0,109,29,15,138,0,25.0,0.0,2.36
,DHAKA NORTH CC.,387,262,19,14,29,4,295,1,0,0,1,52,34,20,86,0,64.0,0.2,1.87
,DHAKA SOUTH CC.,465,187,18,120,44,6,325,3,0,0,3,65,63,27,128,0,90.7,0.8,3.57
,FARIDPUR,189,74,0,0,30,0,74,7,0,0,7,107,0,0,107,0,33.2,3.1,4.80
,GAZIPUR,97,48,0,0,5,0,48,0,0,0,0,49,0,0,49,0,22.7,0.0,2.32
,GAZIPUR CC.,125,42,5,5,26,0,52,3,1,0,4,46,20,11,66,0,28.0,2.2,3.56
,GOPALGANJ,178,87,2,27,16,0,116,2,0,0,2,52,2,0,54,0,84.9,1.5,3.95
,KISHOREGANJ,160,62,11,5,21,0,78,4,0,0,4,76,2,0,78,0,23.0,1.2,2.30
,MADARIPUR,131,65,2,7,11,0,74,2,0,0,2,52,3,0,55,0,54.5,1.5,4.05
,MANIKGANJ,78,22,0,0,6,0,22,2,0,0,2,53,0,0,53,0,13.6,1.2,3.27
