0,1,2,3,4,5,6,7,8,9,10
Table continued...,,,,,,,,,,
"Sl.
no.","Name of
district-level
hospital",OPD visit,,Emergency visit,,Admission,,ALS,BOR,"Sanctioned
beds"
,,Male,Female,Male,Female,Male,Female,,,
23,"Jhenaidah
250-bedded
General
Hospital","115,984","163,089","22,873","14,064","22,493","31,362",2.5,143.9,250
24,"Joypurhat
250-bed
District
Hospital","148,392","167,396","9,302","9,608","22,039","23,759",3.1,269.8,250
25,"Khagrach-
hari District
Hospital","75,301","101,020","8,698","6,478","9,215","12,005",2.9,161.1,250
26,"Khulna 250-
bed General
Hospital","103,214","149,201","14,601","12,196","2,928","4,707",5.5,41.9,250
27,"Kishoreganj
250-bed
District
Sadar
Hospital","149,330","288,471","39,180","26,861","29,028","40,355",1.5,113.6,250
28,"Kurigram
250-bed
District
Hospital","123,781","137,046","35,550","39,133","22,093","27,151",2.9,285.7,250
29,"Kushtia 250-
bed General
Hospital","197,353","294,254","20,717","16,548","38,903","44,389",3.5,309.8,250
30,"Lakshmipur
District
Hospital","101,601","128,242","30,427","27,484","19,857","22,641",2.6,311.0,250
31,"Lalmonirhat
District
Hospital","155,583","147,684","19,806","21,223","10,974","13,070",2.7,70.9,250
32,"Madaripur
District
Hospital","68,346","111,917","29,181","29,126","21,575","22,775",1.7,155.8,250
33,"Magura
250-bed
District
Hospital","121,902","135,784","28,263","22,244","28,073","32,792",2.5,167.1,250
Table 5.5 contd.,,,,,,,,,,
