0,1,2,3,4
"Table 1.8. Household characteristics and utilities in Bangladesh, 2023",,,,
Number of households (PHC 2022),,,"Average monthly household income
(BDT) (HIES, BBS 2022)",
National,41.01 million,,National,"32,422"
Rural,27.82 million,,Rural,"26,163"
Urban,13.19 million,,Urban,"45,757"
Household-size (SVRS 2023),,,"Average monthly household expenditure
(BDT)",
Rural,4.2,,National,"31,500"
Urban,4.1,,Rural,"26,842"
Headship (%) (SVRS 2023),,,Urban,"41,424"
Male-headed,81.1,,"National distribution of average
monthly household expenditure (BDT)
(FSS, BBS 2023)",
Female-headed,18.9,,,
Source of electricity (%) (SVRS 2023),,,"Health
services",393
National grid,97.54,,"Medicine
and health
products","1,124"
Solar,1.81,,,
Other,0.09,,Surgery cost,295
No electricity,0.56,,Other,7361
,,,"Percentage share of food and non-food
consumption (%) (HIES, BBS 2022)",
"Use of the Internet (%) (15+ years) (SVRS
2023)",,,,
Total,50.1,,Food,45.76
Male,58.0,,Non-food,54.24
Female,42.6,,"Per-capita daily intake (gram) of major
food items (HIES, BBS 2022)",
Rural,46.1,,,
Urban,62.7,,National,1129.8
Ownership of mobile phone (%) (15+ years),,,Rural,1125.4
Total,74.2,,Urban,1139.4
Male,86.5,,"Per-capita daily calorie intake (Kcal)
(HIES)",
Female,62.8,,National,2393.0
Rural,71.6,,Rural,2424.2
Urban,82.7,,Urban,2324.6
