0,1,2,3,4,5,6,7,8,9,10
"Table 5.5. Outpatient, emergency and indoor attendance at district sadar/general/district-level
hospitals, 2023",,,,,,,,,,
"Sl.
no.","Name of
district-
kevel
hospital",OPD visit,,Emergency visit,,Admission,,ALS,BOR,"Sanctioned
beds"
,,Male,Female,Male,Female,Male,Female,,,
1,"Bagerhat
District
Hospital","82,800","143,068","10,860","10,484","10,777","14,311",3.6,225.0,250
2,"Bandarban
250-bed
District
Hospital,
Bandarban","32,051","40,755","7,854","4,945","4,419","4,963",3.5,78.0,250
3,"Barguna
District
Hospital","72,717","120,652","27,925","27,669","12,839","16,579",2.9,209.7,250
4,"Barishal
General
Hospital","39,568","48,857","7,607","8,365","4,640","6,110",3.7,110.0,100
5,"Bhola 250-
bed District
Sadar
Hospital","118,622","174,517","14,526","12,248","36,422","30,183",2.0,134.8,250
6,"Bogura
250-bed
Mohammad
Ali District
Hospital","178,337","204,352","25,808","26,134","10,782","12,835",4.4,110.9,250
7,"Brahmanbaria
250-bed
District Sadar
Hospital","255,027","221,682","68,413","58,490","22,504","24,554",2.5,129.9,250
8,"Chandpur
250-bed
General
Hospital","145,559","156,159","44,921","42,154","22,014","26,529",2.6,139.6,250
9,"Chapai-
nowabganj
250-bed
District
Hospital","1877,90","235,813","24,058","23,847","26,575","28,747",2.6,370.2,250
10,"Chittagong
250-bed
General
Hospital","154,334","172,093","21,214","11,928","4,517","5,629",3.1,47.3,250
11,"Chuadanga
District
Hospital","124,953","97,033","42,712","42,297","24,120","30,044",2.1,309.3,250
Table 5.5 contd.,,,,,,,,,,
