0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Table 4.5.1. Number of children aged <5 years with acute gastroenteritis (AGE) with evidence of rotavirus
positivity by hospital (January 2023 to December 2023)",,,,,,,,,,,,,,,,,
raey/htnoM/latipsoH,"Rajshahi
MCH",,"Jahurul
Islam MCH",,"Jalalabad
Ragib-
Rabeya
MCH",,"Jashore
General
Hospital",,"Sher-E-Bangla
MCH",,"Rangpur
MCH",,"Chattogram
MCH",,Total no. of cases,,
,delpmaS,evitisoP,delpmaS,evitisoP,delpmaS,evitisoP,delpmaS,evitisoP,delpmaS,evitisoP,delpmaS,evitisoP,delpmaS,evitisoP,delpmaS,evitisoP,%
Jan’23,29,27,23,18,13,6,35,29,30,24,31,26,36,31,197,161,81.73
Feb’23,20,17,21,16,10,8,24,18,29,21,32,26,16,13,152,119,78.29
Mar’23,18,13,13,10,9,5,31,24,32,20,25,16,22,13,150,101,67.33
Apr’23,17,11,11,4,5,2,15,6,25,15,13,6,21,8,107,52,48.60
May’23,15,6,10,4,5,1,12,6,33,22,12,3,30,7,117,49,41.88
June’23,10,2,12,5,2,0,8,2,26,13,11,1,14,5,83,28,33.73
July’23,12,7,11,7,5,1,5,1,27,3,10,3,20,7,90,29,32.22
Aug’23,15,5,10,4,5,1,5,3,31,16,9,3,26,16,101,48,47.50
Sep’23,12,2,13,12,5,2,5,0,20,15,9,3,20,9,84,43,51.19
Oct’23,16,9,14,10,6,4,11,7,24,16,7,6,22,13,100,65,65.00
Nov’23,19,17,24,19,12,8,15,11,31,24,21,19,30,24,152,122,80.26
Dec’23,14,13,29,26,10,8,20,17,29,23,25,18,30,22,157,127,80.89
Total,197,129,191,135,87,46,186,124,337,212,205,130,287,168,"1,490",944,63.35
