0,1,2,3,4,5,6,7,8,9,10
Table continued...,,,,,,,,,,
"Sl.
no.","Name of
specialized
hospital",OPD visit,,Emergency visit,,Admission,,ALS,BOR,"No. of
beds"
,,Male,Female,Male,Female,Male,Female,,,
5,"National
Institute of
Cardiovascular
Disease
(NICVD)","124,026","76,724","97,332","51,185","66,268","30,452",4.78,100.06,"1,250"
6,"National
Institute of
Diseases of
the Chest
& Hospital
(NIDCH)","86,488","59,981","8,741","3,856","12,115","4,214",13.04,86.70,870
7,"National
Institute of
ENT","107,322","83,961","5,657","3,836","2,123","1,358",12.96,89.33,100
8,"National
Institute of
Kidney Disease
and Urology
(NIKDU)","108,555","64,595","6,088","3,605","4,502","2,652",10.12,95.89,500
9,"National
Institute of
Mental Health
(NIMH)","46,603","37,477","4,077","3,255","2,320","1,784",16.33,95.26,400
10,"National
Institute of
Neurosciences
& Hospital
(NINS & H)","191,512","168,008","39,380","37,506","11,504","7,945",8.47,100.00,500
11,"National
Institute of
Ophthalmology
(NIO)","357,397","287,884","6,966","3,681","6,704","6,840",6.53,94.53,250
12,"National
Institute of
Traumatology
and
Orthopaedic
Rehabilitation
(NITOR)","149,200","98,460","57,325","21,244",25.243,"5,993",10.49,94.84,"1,000"
13,"Pabna Mental
Hospital","17,211","19,523",0,0,"1,843",557,57.93,77.20,500
Table 5.3 contd.,,,,,,,,,,
