0,1,2,3,4
Table 1.11. Economy and health status in Bangladesh,,,,
"Per-capita GDP in FY 2022-2023
(USD) (BER 2023)","2,657",,"Bangladesh National Health Accounts
(BNHA 1997-2020)",
,,,"Total health expenditure in 2020
(% of GDP)",2.8%
"GDP growth in FY 2022-23 (%)
(BER 2023)",6.03,,,
National budget (FY 2023-24),,,"Current health expenditure in
2020 (% of GDP)",2.6%
"Allocation of total budget to the
health sector (%)",5.00,,,
,,,"Out-of-pocket expenditure
(household)","68.5% of
THE"
"Allocation of total budget to the
health sector in crore BDT","38,050",,,
,,,"Per capita total health expendi-
ture (USD)",54
"Allocation of operating expendi-
ture to the health sector (%)",4.7,,,
,,,,
"Allocation for development expen-
diture to the health sector (%)",5.6,,,
