0,1,2,3,4,5,6,7,8,9,10
Table continued...,,,,,,,,,,
"Sl.
no.","Name of
district-level
hospital",OPD visit,,Emergency visit,,Admission,,ALS,BOR,"Sanctioned
beds"
,,Male,Female,Male,Female,Male,Female,,,
57,"Sherpur 250-
bed District
Sadar
Hospital","114,569","173,110","42,068","57,181","24,514","34,593",2.6,176.9,250
58,"Sirajganj
250-bed
Bangama-
ta Sheikh
Fazilatunnesa
Mujib Gener-
al Hospital","81,893","74,963","34,997","35,979","24,379","25,675",2.5,126.2,250
59,"Sunamganj
250-bed
District
Sadar
Hospital","92,588","117,306","47,459","53,373","26,139","30,824",3.0,117.8,250
60,"Sylhet
Shahid
Shamsuddin
Ahmed
District
Hospital","65,378","85,573","1,149",799,"1,446","1,657",7.4,60.0,250
61,"Tangail 250-
bed District
Hospital","171,095","178,856","15,762","10,675","42,340","39,163",2.3,191.8,250
62,"Thakurgaon
District
Hospital","83,963","112,665","17,134","13,674","29,682","35,142",3.1,220.9,250
,Total,"7,129,111","8,979,100","2,008,068","1,958,941","1,201,514","1,405,454",2.9,169.6,"14,500"
