0,1,2,3,4,5,6,7
Site,Male,Female,Total,Site,Male,Female,Total
"Placenta, Foetal membrane",,1,1,Cerebral meninges,,1,1
Choriocarcinoma,,1,1,Meningioma,,1,1
Penis,16,,16,Spinal meninges,1,,1
Sq cell ca,11,,11,Meningioma,1,,1
Adenocarcinoma,4,,4,Meninges (NOS),5,6,11
Angiomyosarcoma,1,,1,Sq cell ca,1,0,1
Prostate,121,,121,Meningioma,4,6,10
Sq cell ca,10,,10,Cerebrum,1,,1
Adenocarcinoma,111,,111,Meningioma,1,,1
Testis,27,,27,Frontal lobe,1,1,2
Sq cell ca,10,,10,Sq cell ca,0,1,1
Adenocarcinoma,1,,1,Ependymoma,1,0,1
Malignent melanoma,2,,2,Brainstem,2,2,4
Embryonal sarcoma,3,,3,Sq cell ca,1,0,1
Seminoma,7,,7,Astrocytoma,1,2,3
Germ cell tumour,3,,3,Brain,111,50,161
Teratocarcinoma,1,,1,Small cell ca,1,0,1
Kidney,75,28,103,Sq cell ca,1,2,3
Sq cell ca,1,0,1,Adenocarcinoma,1,0,1
Basal cell ca,0,1,1,Fibrous histocytoma,1,0,1
Renal cell ca,73,25,98,Glioma,20,7,27
Nephrpblastoma,1,2,3,Ependymoma,7,0,7
Renal pelvis,1,1,2,Astrocytoma,54,24,78
Malignant tumour,1,0,1,Glioblastoma,21,10,31
Sq cell ca,0,1,1,Meduloblastoma,2,2,4
Bladder,163,44,207,Neuroblstoma,3,4,7
Papilary ca,3,0,3,Meningioma,0,1,1
Sq cell ca,2,0,2,Thyroid,36,81,117
Transitional cell ca,157,43,200,Papilary ca,36,80,116
Adenocarcinoma,1,1,2,Sq cell ca,0,1,1
Conjunctiva,5,0,5,Adrenal gland,,1,1
Sq cell ca,5,0,5,Small cell ca,,1,1
Eye ball,7,2,9,Pituitary gland,,1,1
Retinoblastoma,7,2,9,Adenoma,,1,1
Orbit,4,5,9,"Cheek, Jaw ,Nose",23,13,36
Sq cell ca,3,3,6,Sq cell ca,20,12,32
Adenocarcinoma,1,1,2,Adenocarcinoma,2,1,3
Adeno cystic ca,0,1,1,Adeno cystic ca,1,0,1
Eye,15,3,18,Abdominal wall,1,,1
Sq cell ca,3,0,3,Sq cell ca,1,,1
Retinoblastoma,12,3,15,,,,
