0,1,2,3,4,5,6,7
Site,Male,Female,Total,Site,Male,Female,Total
Lip,3,6,9,Sub mandibular gland,56,30,86
Sq cell ca,2,6,8,Small cell ca,2,0,2
Fibrosarcoma,1,0,1,Sq cell ca,43,24,67
Base of the tongue,1,,1,Adenoid Sq cell ca,0,1,1
Sq cell ca,1,,1,Adenocarcinoma,6,1,7
Tongue,151,87,238,Adeno cystic ca,3,1,4
Malignant tumor,0,1,1,Mucoepidermoid ca,0,2,2
Sq cell ca,151,86,237,Acinar cell carcinoma,1,0,1
Gum,0,6,6,Chondrosarcoma,0,1,1
Sq cell ca,0,6,6,Hodgkins' Lymphoma,1,0,1
Floor of the mouth,3,6,9,Tonsillar fossa,9,2,11
Sq cell ca,3,6,9,Sq cell ca,9,2,11
Hard palate,4,7,11,Tonsil,75,13,88
Sq cell ca,3,6,9,Sq cell ca,75,12,87
Adenocarcinoma,1,0,1,Adenocarcinoma,0,1,1
Mucoepidermoid ca,0,1,1,Valecula,6,3,9
Soft palate,7,6,13,Sq cell ca,6,3,9
Small cell ca,0,1,1,Branchial cleft,26,5,31
Sq cell ca,4,3,7,Small cell ca,1,1,2
Adenocarcinoma,1,1,2,Sq cell ca,21,3,24
Sarcoma,2,1,3,Adenocarcinoma,4,1,5
Uvula,1,7,8,Oropharynx,4,,4
Sq cell ca,1,5,6,Sq cell ca,4,,4
Adenocarcinoma,0,1,1,Nasopharynx,27,9,36
Malignent melanoma,0,1,1,Small cell ca,0,1,1
Palate,10,11,21,Sq cell ca,27,8,35
Sq cell ca,9,10,19,Pyriformsinus/fossa,108,10,118
Adenocarcinoma,0,1,1,Spindle cell ca,1,0,1
Neuroblstoma,1,0,1,Sq cell ca,106,9,115
Cheek /buccal mucosa,94,163,257,Seminoma,1,0,1
Sq cell ca,92,159,251,Ependymoma,0,1,1
Basal cell ca,0,1,1,Aryepiglotic fold,2,,2
Adenocarcinoma,1,3,4,Sq cell ca,2,,2
Dermato fibroma,1,0,1,Hypopharynx,6,4,10
Vestibule of mouth,1,,1,Sq cell ca,6,4,10
Sq cell ca,1,,1,Pharynx,23,3,26
Oral cavity/Buccal cavity,15,30,45,Sq cell ca,23,3,26
Sq cell ca,14,30,44,Cervical oesophagus,10,23,33
Adenoid Sq cell ca,1,0,1,Sq cell ca,6,19,25
Parotid Gland,23,22,45,Adenocarcinoma,1,3,4
Sq cell ca,6,10,16,Hodgkins' Lymphoma,3,1,4
Adenocarcinoma,5,2,7,Oesophagus,365,156,521
Adeno cystic ca,2,0,2,Malignent tumour,2,0,2
Endrometroid ca,1,0,1,Small cell ca,3,0,3
Mucoepidermoid ca,9,9,18,Papilary ca,1,0,1
Acinar cell carcinoma,0,1,1,Sq cell ca,318,145,463
