0,1,2,3,4,5,6,7
Site,Male,Female,Total,Site,Male,Female,Total
Lip,11,2,13,Sub mandibular/maxillary gland,58,43,101
Sq cell ca,11,2,13,Sq cell ca,49,42,91
Base of the tongue,8,2,10,Adenocarcinoma,7,0,7
Sq cell ca,8,2,10,Mucoepidermoid ca,0,1,1
Tongue,160,98,258,Hodgkins' Lymphoma,2,0,2
Squamous cell carcinoma,159,98,257,Tonsillar fossa,8,2,10
Spindle cell ca,1,0,1,Sq cell ca,7,2,9
Gum,6,9,15,Adenocarcinoma,1,0,1
Sq cell ca,5,9,14,Tonsil,94,12,106
Adenocarcinoma,1,0,1,Sq cell ca,94,11,105
Floor of the mouth,18,15,33,Adenocarcinoma,0,1,1
Squamous cell carcinoma,18,15,33,Valecula,5,4,9
Hard palate,7,3,10,Sq cell ca,5,3,8
Sq cell ca,7,2,9,Adenocarcinoma,0,1,1
Adenocarcinoma,0,1,1,Branchial cleft,59,13,72
Soft palate,27,15,42,Small cell ca,2,1,3
Sq cell ca,20,12,32,Sq cell ca,49,10,59
Adenocarcinoma,2,1,3,Adenoid Sq cell ca,2,2,4
Sarcoma,2,1,3,Adenocarcinoma,3,0,3
Others,3,1,4,Mucoepidermoid ca,3,0,3
Uvula,,7,7,Oropharynx,3,1,4
Sq cell ca,,7,7,Sq cell ca,3,1,4
Palate,7,11,18,Nasopharynx,29,10,39
Sq cell ca,5,9,14,Sq cell ca,29,10,39
Adenocarcinoma,2,0,2,Pyriformsinus/fossa,144,24,168
Mucoepidermoid ca,0,1,1,Spindle cell ca,1,0,1
Acinar cell carcinoma,0,1,1,Sq cell ca,141,24,165
Cheek /buccal mucosa,174,221,395,Adenocarcinoma,2,0,2
Sq cell ca,171,221,392,Cricoid,4,1,5
Basal cell ca,1,0,1,Sq cell ca,4,1,5
Adenocarcinoma,1,0,1,Aryepiglotic fold,10,2,12
Sarcoma,1,0,1,Sq cell ca,10,2,12
Vestibule of mouth,,2,2,Hypopharynx,3,,3
Sq cell ca,,2,2,Sq cell ca,3,,3
Oral cavity/Buccal cavity,30,28,58,Pharynx,21,9,30
Sq cell ca,28,28,56,Sq cell ca,21,9,30
Adenocarcinoma,1,0,1,Laryngopharynx,1,,1
Mucoepidermoid ca,1,0,1,Sq cell ca,1,,1
Parotid Gland,27,23,50,Cervical oesophagus,52,27,79
Mucoepidermoid ca,15,18,33,Sq cell ca,48,24,72
Sq cell ca,6,2,8,Adenocarcinoma,4,2,6
Adenocarcinoma,2,1,3,Rhabdomyosarcoma,0,1,1
Adeno cystic ca,3,0,3,,,,
Others,1,2,3,,,,
