0,1,2,3,4,5
"Sl.
No.",Type of institution,Type of institution,,,
,,Govt.,Autonomous,Non-Govt.,Total
1,University,-,4,2,6
2,Medical College,12,-,1,13
3,Dental College,1,-,-,1
4,Nursing Education Institution,1,-,-,1
5,Institute/Centre,14,3,11,28
Total,,28,7,14,49
