0,1
Number of population per registered physician,1581
Number of registered physician per 10000 population,6.33
Number of registered nurse per 10000 population,2.99
Number of doctor working under DGHS per 10000 population,1.28
Number of medical technologist working under DGHS per 10000 population,0.32
