0,1,2,3,4,5,6,7,8,9
"6000
5000
4000
sesaC
3000
fo
.oN
2000
1000
240 240
0
201 201
Polio 0
Diphtheria 6
Pertussis 11
NT (% of all tetanus) 117 117
Measles 240 240
Rubella 189 189
CRS 121 121",,,,,,,,"2,410
2020
0
10
1
42
2,410
66
160",
,,,"5,479",,,,,,
,,,"4,001",,,,,,
,,,,,,,,,
,,,"2,263",,,,,,
,,,972,,,,,,
,,,,,,,,,
,,220011,55,2016,2017,2018,2019,,2020
,Polio,0,,0,0,0,0,,0
,Diphtheria,6,,2,5,36,14,,10
,Pertussis,11,,1,0,3,12,,1
,NT (% of all tetanus),111177,,110,96,85,49,,42
,Measles,224400,,972,"4,001","2,263","5,479",,"2,410"
,Rubella,118899,,165,299,308,170,,66
,CRS,112211,,146,202,194,178,,160
,,,,,,,,,
