0,1,2,3,4,5,6,7,8,9
Thematic area,,Number of participants,,,,,,,
,No of,MOHFW personnel,,,,,Non-MOHFW,,
,batches,Central level,,Field level,,,personnel,,
,,M,F,M,F,Male,,Female,
"Physical exercise, food habit and rest for
healthy lifestyle",46,83,9,262,98,1158,,462,
"Healthy diet, hazards of excessive salt, oil,
sugar, junk food and benefits of fruits and
vegetable intake",29,50,5,165,67,728,,287,
"Promote safe and healthy environment and
sanitation within health facilities, households,
workplaces, school, and medical waste
management",45,83,6,705,734,125,,152,
"Mass awareness building on road safety,
drowning and waterway safety",29,52,6,393,104,586,,164,
"Campaign on child health and school health
based on ""Uniform School Health Package""",142,264,20,597,436,2995,,2078,
"Workshop on prevention of early marriage and
delayed pregnancy among adolescents",44,81,7,179,173,1052,,488,
"Workshop on early detection and prevention of
breast and cervical cancer",48,89,6,219,196,0,,1410,
