0,1
Parameter,Value
Notified TB Cases(All Forms),"306,701"
TB treatment coverage (notified/estimated incidence),82%
Notified TB/HIV co-infection,106
Laboratory-confirmed MDR/RR-TB cases,"1,495"
MDR/RR-TB patients started treatment,"1,384"
Laboratory-confirmed pre-XDR/XDR-TB cases,106
pre-XDR/XDR-TB patients started on treatment,104
Treatment success of new and relapsed cases registered in 2020 (analyzed in 2021),95%
Treatment success in HIV-positive TB cases registered in 2020 (analyzed in 2021),76%
Treatment success in MDR/RR-TB cases starting second-line treatment in 2019,74%
