0,1,2,3,4,5,6,7,8,9
Year,Month,Dhaka,Mymensingh,Chattagram,Rajshahi,Rangpur,Khulna,Barishal,Sylhet
2021,February,941339,135124,681803,343910,284230,384556,147472,192091
,March,720218,125660,399301,268011,263618,309464,88046,85588
,April,1034564,149729,707128,341971,301102,387672,140936,191817
,May,571117,66169,640348,116418,133191,139339,52325,51131
,June,76214,5259,44499,12300,8613,10089,7371,4811
,July,910865,177004,538463,338055,295641,378821,138548,154032
,August,2237852,876400,2509041,1601534,1406377,1363525,897865,797175
,September,5001308,1538212,4139922,2800372,2820660,3088331,1640223,1372579
,October,6364636,1521080,3627154,2616937,2283325,2957716,1286580,1175685
,November,4521204,2135332,4806679,3814911,3176039,3481757,1441034,1556797
,December,13067299,1987303,5601507,3766459,2535354,2787291,1320780,1779217
Total,,35446616,8717272,23695845,16020878,13508150,15288561,7161180,7360923
