0,1
,"By 2024, at least 80 percent of all deaths recorded by the health sector in the territory"
,and jurisdiction in the given year have a medically certified cause of death recorded
,using the international form of the death certificate
,
"Goal 2. All individuals are provided with legal documentation of civil registration of births,",
"deaths and other vital events, as necessary, to claim identity, civil status and ensuing rights",
Target 2.A,"By 2024, at least 100 percent of all births registered in the territory and jurisdiction"
,"are accompanied with the issuance of an official birth certificate that includes, as a"
,"minimum, the individual’s name, sex, date and place of birth, and name of parent(s)"
,where known.
,"By 2024, at least 100 percent of all deaths registered in the territory and jurisdiction in"
,the given year are accompanied with the issuance of an official death certificate which
,"includes, as a minimum, the deceased’s name, date of death, sex, and age."
