0,1,2,3,4,5
Hospital Name,Major Surgery,,,Minor Surgery,
Kurmitola 500 Bed General Hospital,853,,1850,,
Mugda 500Bed General Hospital,750,,101,,
"National Institute Of Cancer Research And Hospital
(NICR&H)",1396,,641,,
National Institute Of Cardiovascular Disease (NICVD),2113,,11202,,
"National Institute of Diseases of the Chest & Hospital
(NIDCH)",745,,1759,,
National Institute of ENT,1633,,550,,
National Institute of Kidney Disease and Urology (NIKDU),1884,,3058,,
"National Institute of Neuro Sciences & Hospital (NINS &
H)",3478,,1906,,
National Institute Of Ophthalmology (NIO),11586,,980,,
"National Institute of Traumatology and Orthopaedic
Rehabilitation (NITOR)",15552,,14057,,
Shaheed Sheikh Abu Naser Specialized Hospital,433,,56,,
"Sheikh Fazilatunnessa Mujib Eye Hospital And Training
Institute",3560,,3343,,
"Sheikh Hasina National Institute of Burn and Plastic
Surgery",2759,,5042,,
Sheikh Russel Gastroliver Institute & Hospital,383,,50,,
Total,47125,,44595,,
