0,1,2,3,4,5,6,7,8,9,10,11
Social Protection Program,,,Ministry / Division,,,Beneficiary,,,Budget,,
,Essential Services Delivery &,,Health Services Division,,,130.00M,,,"12,363.80M",,
,Community-Based Healthcare,,,,,,,,,,
"Maternal, Neonatal, Child and
Adolescent Health",,,Health Services Division,,,63.89M,,,"7,157.70M",,
,National Nutrition Services,,,Health Services Division,,,0.21M,,,"1,425.00M",
"T.B., Leprosy, Communicable
and Non-communicable
Disease Control",,,Health Services Division,,,43.32M,,,"6,945.80M",,
,Clinical Contraception,,,Medical Education and Family,,108.64 M,,,"2,960.00M",,
,Services Delivery,,,Welfare Division,,,,,,,
"Family Planning Field
Services Delivery",,,"Medical Education and Family
Welfare Division",,,54.66M,,,"5,120.00M",,
,"Maternal, Child, Reproductive",,,Medical Education and Family,,74.60M,,,"2,350.00M",,
,and Adolescent Health,,,Welfare Division,,,,,,,
