0,1,2,3,4,5,6,7
"Workshop on safe sexual behavior, STD/AIDS
among adolescents",45,84,6,184,176,911,664
"Seminar on promotion of personal hygiene
(Eye care, Nail care, Safe sanitary practice)
among school children",50,96,4,239,161,1002,747
"Mass awareness campaign on prevention,
control and elimination of COVID-19",108,222,17,500,419,2349,1430
"Workshop on food safety, food hygiene, anemia
and malnutrition and healthy aging",49,84,14,1295,567,0,0
"Workshop on prevention of Hepatitis,
Diabetes, Kidney diseases, Cancer and other
long time suffering diseases",40,74,6,183,137,846,554
"Advocacy meeting on NCDs, road traffic
accident, snakebite and others",49,91,5,185,214,1163,518
"Workshop on prevention and elimination of
Kala-azar, Filaria, Chikungunya and Emerging
& Non-emerging diseases",39,59,13,852,466,74,46
"Communication campaign on Arsenic free
water",33,11,1,22,26,146,64
"Campaign to promote safe delivery, prevention
of newborn asphyxia, thermal control, hygiene
and umbilical cord care",18,34,2,54,90,432,198
National level meetings,1,31,6,0,0,0,0
OPIC & monitoring committee meetings,1,12,2,0,0,0,0
Grand total,816,1500,135,6034,4064,"1356
7",9262
