0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
S.N,,,Name of Specialized Hospital,,,,OPD Visit,,,,,,Emergency Visit,,,,,,Admission,,,,,ALS,,,BOR,,,,Sanctioned,
,,,,,,,Male,,,Female,,,Male,,,Female,,,Male,,Female,,,,,,,,,,Bed,
1,,,"250 Bedded TB Hospital Shyamoli, Dhaka",,,28489,,,22602,,,1245,,,986,,,1149,,,952,,,30,,,47,,,250,,
2,,,"Bangladesh Institute of Tropical and Infectious Disease
(Fouzderhat)",,,4508,,,3849,,,4655,,,3881,,,3259,,,2843,,,4.3,,,59.1,,,100,,
3,,,Kurmitola 500-bed General Hospital,,,149401,,,177802,,,11152,,,10670,,,10910,,,8201,,,7.8,,,42.4,,,500,,
4,,,Mugda 500-bed General Hospital,,,0,,,0,,,12010,,,10100,,,1865,,,2561,,,9.0,,,33.0,,,500,,
5,,,"National Institute Of Cancer Research And Hospital
(NICR&H)",,,109935,,,153853,,,5402,,,6085,,,4335,,,5242,,,12.1,,,91.4,,,500,,
6,,,National Institute Of Cardiovascular Disease (NICVD),,,93553,,,60521,,,73589,,,39487,,,50609,,,21248,,,4.8,,,212.2,,,1250,,
7,,,"National Institute of Diseases of the Chest & Hospital
(NIDCH)",,,62077,,,42043,,,6576,,,2821,,,10966,,,3765,,,13.3,,,78.1,,,600,,
8,,,National Institute of ENT,,,70726,,,58540,,,3458,,,2164,,,1848,,,1175,,,15.1,,,85.0,,,100,,
9,,,"National Institute of Kidney Disease and Urology
(NIKDU)",,,79541,,,42944,,,5557,,,3031,,,3136,,,1853,,,10.0,,,100.0,,,500,,
10,,,National Institute Of Mental Health (NIMH),,,34621,,,27966,,,2939,,,2090,,,2054,,,1446,,,13.3,,,90.5,,,200,,
11,,,National Institute of Neuro Sciences & Hospital (NINS & H),,,124785,,,113716,,,31767,,,26936,,,10506,,,7292,,,8.8,,,100.0,,,350,,
12,,,National Institute Of Ophthalmology (NIO),,,243088,,,193026,,,5274,,,2019,,,6538,,,5150,,,6.8,,,83.3,,,250,,
13,,,"National Institute of Traumatology and Orthopaedic
Rehabilitation (NITOR)",,,50995,,,34713,,,29454,,,12359,,,11922,,,4570,,,9.8,,,86.8,,,1000,,
14,,,Pabna Mental Hospital,,,27677,,,32768,,,0,,,0,,,102073,,,48037,,,97.4,,,82.3,,,500,,
15,,,Shaheed Sheikh Abu Naser Specialized Hospital,,,43830,,,44233,,,314,,,206,,,2265,,,2045,,,12.5,,,59.1,,,250,,
16,,,"Sheikh Fazilatunnessa Mujib Eye Hospital And Training
Institute",,,53638,,,52375,,,1505,,,928,,,2424,,,1741,,,3.1,,,32.0,,,100,,
17,,,"Sheikh Hasina National Institute of Burn and Plastic
Surgery",,,26920,,,24554,,,8013,,,6329,,,2664,,,2720,,,28.0,,,100.0,,,500,,
18,,,Sheikh Russel Gastro-Liver Institute & Hospital,,,29859,,,24935,,,589,,,467,,,1252,,,1548,,,11.71,,,71.76,,,250,,
,,,,Total,,,1233643,,,1110440,,,203499,,,130559,,,229775,,,122389,,,16.32,,,76.88,,,7700,
