0,1,2,3,4
Hospital Name,Major Surgery,,,Minor Surgery
Dhaka Medical College Hospital,19605,,29089,
Sylhet MAG Osmani Medical College Hospital,15951,,38151,
Chattogram Medical College Hospital,15415,,19144,
Rajshahi Medical College Hospital,15209,,17049,
Mymensingh Medical College Hospital,13233,,75797,
Shaheed Suhrawardy Medical College Hospital,13055,,9217,
Cumilla Medical College Hospital,10797,,11246,
Sher-e-bangla Medical College Hospital,9872,,15703,
Sir Salimullah Medical College Hospital,9605,,18397,
"Shaheed Ziaur Rahman Medical College Hospital, Bogra",7550,,15983,
Rangpur Medical College Hospital,7118,,34308,
Khulna Medical College Hospital,7036,,8079,
"Bangabandhu Sheikh Mujib Medical College Hospital,
Faridpur",4043,,2511,
M Abdur Rahim Medical College Hospital,3834,,8218,
Shaheed Taj Uddin Ahmad Medical College Hospital,1493,,2130,
Shahid Syed Nazrul Islam Medical College Hospital,872,,1377,
Satkhira Medical College Hospital,1354,,819,
Total,156042,,307218,
