0,1,2,3,4,5,6,7
"Table 11: Distribution of main categories of health workers employed by the Ministry of Health and Family Welfare
(DGHS and DGNM), in % by urban- rural-hard-to-reach geographical zones, 2021",,,,,,,
"Health worker
category
(% pop.)",Doctors,Dentists,"Nurses
(BSc and
Diploma)",Midwives,"Sub-Assistant
Communi-
ty Medical
Officers","Medical tech-
nologists","Pharmacists
(Category B)"
"Urban
(38%)",75.3%,57.8%,75.0%,0%,0%,51.1 %,68.89%
"Rural and hard-
to-reach
(62%)",24.8%,42.2%,25.0%,100%,100%,48.9%,31.11%
Total,"100%
(25,926)","100%
(870)","100%
(35,828)","100%
(2,549)","100%
(3,661)","100%
(3,892)","100%
(1,744)"
