0,1,2,3,4,5,6,7,8,9
"Table 44: Projection of the supply of Medical Technologists-Radiotherapy ac-
cording to scenario 2 (+10%)",,,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",,Total Supply,,
,"Grad-
uates","In-
crease",80%,,,,,,
2018,,,,,,,576,164600000,0.03
2019,75,,60,576,,23,613,,
2020,77,,62,613,,25,650,,
2021,64,,51,650,,26,675,,
2022,84,,67,675,,27,715,,
2023,84,,67,715,,29,754,,
2024,92,10%,74,754,,30,798,174612904,0.05
2025,92,,74,798,,32,840,,
2026,92,,74,840,,34,880,,
2027,92,,74,880,,35,919,,
2028,92,,74,919,,37,956,,
2029,92,,74,956,,38,992,,
2030,92,,74,992,,40,1026,190686952,0.05
Source: BBS Pop Projection 2011-2061,,,,,,,,,
