0,1,2,3,4,5,6,7,8
Table 6: Projection of the supply of doctors according to scenarios 3-4 (+20%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,76867,164600000,4.67
2019,9390,,8921,76867,3075,82713,,
2020,8782,,8343,82713,3309,87747,,
2021,9310,,8845,87747,3510,93082,,
2022,9256,,8793,93082,3723,98152,,
2023,9311,,8845,98152,3926,103071,,
2024,11225,20%,10664,103071,4123,109612,174612904,6.28
2025,11225,,10664,109612,4384,115891,,
2026,11225,,10664,115891,4636,121919,,
2027,11225,,10664,121919,4877,127706,,
2028,11225,,10664,127706,5108,133262,,
2029,11225,,10664,133262,5330,138595,,
2030,11225,,10664,138595,5544,143715,190686952,7.54
