0,1,2,3,4,5,6,7,8,9
"Table 55: Projection of the supply of Medical Technologists- Physiotherapy
according to scenario 1",,,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Densi-
ty per
10000"
Year,New registrations,,,,"Supply of pre-
vious year","Attrition
rate
4%","Total
Supply",,
,"Grad-
uates",Increase,,80%,,,,,
2018,,,,,,,2376,164600000,0.14
2019,319,,,255,2376,,2536,,
2020,303,,,242,2536,,2677,,
2021,341,,,273,2677,,2843,,
2022,297,,,238,2843,,2967,,
2023,327,,,262,2967,,3110,,
2024,327,,,262,3110,,3247,174612904,0.19
2025,327,,,262,3247,,3379,,
2026,327,,,262,3379,,3505,,
2027,327,,,262,3505,,3626,,
2028,327,,,262,3626,,3743,,
2029,327,,,262,3743,,3855,,
2030,327,,,262,3855,,3962,190686952,0.21
