0,1,2,3,4,5,6,7,8
"Table 76: Projection of the supply of Medical Technologists- Intensive Care (IC)
Assistance according to scenarios 3-4",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of pre-
vious year","Attrition
rate
4%","Total Sup-
ply",,
,"Gradu-
ates","In-
crease",95%,,,,,
2018,,,,,,60,164600000,0.00
2019,32,,30,60,2,88,,
2020,125,,119,88,4,203,,
2021,128,,122,203,8,317,,
2022,70,,67,317,13,371,,
2023,70,,67,371,15,422,,
2024,70,,67,422,17,472,174612904,0.03
2025,70,,67,472,19,519,,
2026,70,,67,519,21,565,,
2027,70,,67,565,23,609,,
2028,70,,67,609,24,651,,
2029,70,,67,651,26,692,,
2030,70,,67,692,28,730,190686952,0.04
Source: BBS Pop Projection 2011-2061,,,,,,,,
