0,1,2,3,4,5,6,7
"Table 12: Distribution by level of services, main categories of health workers employed by the Ministry of Health and
Family Welfare (DGHS and DGNM), in % (2021)",,,,,,,
"Level of
services",Doctors,Dentists,"Nurses
(BSc and
Diploma)",Midwives,"Sub-Assistant
Community Medical
Officers","Medical tech-
nologists","Pharmacists
(Category B)"
Primary,10.7%,28.4%,8.2%,100%,100%,30.6%,31.11%
Secondary,14.1%,13.8%,16.8%,0%,0%,18.3%,19.56%
Tertiary,75.3%,57.8%,75.0%,0%,0%,51.1%,49.33%
Total,"100 %
(25,926)","100%
(870)","100%
(33,616)","100%
(2,549)","100%
(3,661)","100%
(3,892)","100%
(1,744)"
