0,1,2,3,4,5,6,7,8
Table28: Projection of the supply of Diploma nurses according to scenarios 3-4,,,,,,,"Total population
in BD
(2018, 2024 & 2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,"Gradu-
ates","In-
crease",95%,,,,,
2018,,,,,,50539,164600000,3.07
2019,5394,,5124,50539,2022,53642,,
2020,6711,,6375,53642,2146,57872,,
2021,7742,,7355,57872,2315,62912,,
2022,12487,,11863,62912,2516,72258,,
2023,12487,,11863,72258,2890,81230,,
2024,12487,,11863,81230,3249,89844,174612904,5.15
2025,12487,,11863,89844,3594,98112,,
2026,12487,,11863,98112,3924,106051,,
2027,12487,,11863,106051,4242,113671,,
2028,12487,,11863,113671,4547,120987,,
2029,12487,,11863,120987,4839,128010,,
2030,12487,,11863,128010,5120,134752,190686952,7.07
Source: BBS Pop Projection 2011-2061,,,,,,,,
