0,1,2,3
"Table 14: Health workers employed by the three Directorates of the Ministry of Health and Family Welfare
(MOHFW), 2019",,,
Directorate,Sanctioned posts,Filled posts,Vacant posts (%)
Health Services (DGHS),103743,74985,27.7%
Family Planning (DGFP),52435,41282,21.3%
Nursing and Midwifery (DGNM),37509,35265,6%
