0,1,2,3,4,5,6,7,8
Table 24: Projection of the supply of BSc nurses according to scenarios 3-4 (+20%),,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,Graduates,Increase,95%,,,,,
2018,,,,,,4064,164600000,0.25
2019,1345,,1278,4064,163,5179,,
2020,1909,,1814,5179,207,6786,,
2021,2773,,2634,6786,271,9148,,
2022,3207,,3047,9148,366,11829,,
2023,6892,20%,6547,11829,473,17903,,
2024,6892,,6547,17903,716,23734,174612904,1.36
2025,6892,,6547,23734,949,29332,,
2026,6892,,6547,29332,1173,34705,,
2027,6892,,6547,34705,1388,39864,,
2028,6892,,6547,39864,1595,44817,,
2029,6892,,6547,44817,1793,49571,,
2030,6892,,6547,49571,1983,54135,190686952,2.84
Source: BBS Pop Projection 2011-2061,,,,,,,,
