0,1,2,3,4,5,6,7
"Table 2: Number of public and private sector health worker education institutions and seats available, 2020",,,,,,,
"Institu-
tions/
Sector","Medical
colleges
(seats #)","Dental
colleges
(seats #)","Nursing
colleges/BSc
(seats #)","Nursing
Institutes/
Diploma
(seats #)","Midwifery
Institutes
(seats #)","Medical Assistant
Training Schools
(seats #)","Technology
Institutes
(seats #)"
Public,"38 (34%),
4475 (41%)","9 (26%),
532 (27%)","32 (18%),
1935 (11%)","44 (20%),
3380 (28%)","41 (37%),
1050 (28%)","9 (4%),
816 (6%)","13 (12%),
2526 (20%)"
Private,"75 (66%),
6594 (59%)","26 (74%),
1405 (73%)","142 (82%),
15145 (89%)","179 (80%),
8705 (72%)","71 (63%),
2690 (72%)","200 (96%),
13185 (94%)","97 (88%),
8865 (80%)"
Total,"113
(11069)","35
(1937)","174
(17080)","223
(12085)","112
(3740)","209
(14001)","110
(11391)"
