0,1,2,3,4,5,6,7,8
"Table 74: Projection of the supply of Medical Technologists- Intensive Care (IC) Assis-
tance according to scenario 2 (+10%)",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Densi-
ty per
10000"
Year,New registrations,,,"Supply of previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,60,164600000,0.00
2019,32,,26,60,2,83,,
2020,125,,100,83,3,180,,
2021,128,,102,180,7,275,,
2022,70,,56,275,11,320,,
2023,70,,56,320,13,363,,
2024,77,10%,62,363,15,410,174612904,0.02
2025,77,,62,410,16,456,,
2026,77,,62,456,18,499,,
2027,77,,62,499,20,541,,
2028,77,,62,541,22,581,,
2029,77,,62,581,23,619,,
2030,77,,62,619,25,656,190686952,0.03
