0,1,2,3,4,5,6,7,8
"Table 87: Projection of the supply of Medical Technologists - Pharmacists (Category
B) according to scenario 2 (+20%)",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attri-
tion
rate
1%","Total Sup-
ply",,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,14454,164600000,0.88
2019,311,,249,14454,145,14558,,
2020,311,,249,14558,146,14661,,
2021,311,,249,14661,147,14764,,
2022,311,,249,14764,148,14865,,
2023,311,,249,14865,149,14965,,
2024,373,20%,299,14965,150,15114,174612904,0.87
2025,373,,299,15114,151,15261,,
2026,373,,299,15261,153,15407,,
2027,373,,299,15407,154,15552,,
2028,373,,299,15552,156,15695,,
2029,373,,299,15695,157,15836,,
2030,373,,299,15836,158,15977,190686952,0.84
Source: BBS Pop Projection 2011-2061,,,,,,,,
