0,1,2,3,4,5,6,7,8,9
Table 8.22. Leading causes of death in 2012 estimated by WHO,,,,,,,,,
Global,,,,,WHO South-East Asia Region,,,,
Rank,Cause,"No. of
deaths
(000s)","%
deaths","Deaths per
100,000
population",Rank,Cause,"No. of
deaths
(000s)","%
deaths","Deaths per
100,000
population"
-,All causes,"55,859",100.0,789.5,-,All causes,"13,759",100.0,750.5
1,"Ischemic
heart
disease","7,356",13.2,104.0,1,"Ischemic
heart
disease","1,580",11.5,86.2
2,Stroke,"6,671",11.9,94.3,2,Stroke,"1,443",10.5,78.7
3,"Chronic
obstructive
pulmonary
disease","3,104",5.6,43.9,3,"Chronic
obstructive
pulmonary
disease","1,271",9.2,69.3
4,"Lower
respiratory
infections","3,052",5.5,43.1,4,"Lower
respiratory
infections",753,5.5,41.1
5,"Trachea,
bronchus,
lung
cancers","1,600",2.9,22.6,5,"Diarrheal
diseases",651,4.7,35.5
6,HIV/AIDS,"1,534",2.8,21.7,6,"Preterm
birth com-
plications",456,3.3,24.9
7,"Diarrheal
diseases","1,498",2.7,21.2,7,"Tubercu-
losis",449,3.3,24.5
8,"Diabetes
mellitus","1,497",2.7,21.2,8,"Diabetes
mellitus",410,3.0,22.4
9,"Road
injury","1,255",2.3,17.7,9,"Road
injury",337,2.5,18.4
10,"Hyperten-
sive heart
disease","1,141",2.0,16.1,10,"Cirrhosis
of the liver",326,2.4,17.8
