0,1,2,3,4,5,6,7,8,9,10
"Table 16.3. Numbers of sanctioned, filled-up and vacant posts of medical technologists by discipline
in the last three years",,,,,,,,,,
"Year
(Month)",Post,"Phar-
macy",Lab,"Radio-
graphy","Radio-
therapy","Physio-
therapy",Dental,"Sanitary
inspection","MT
(EPI)",Total
"2013
(Dec)",Sanctioned,"2,934","1,922",737,66,216,535,491,-,"6,901"
,Filled-up,"2,126","1,498",629,41,144,501,436,,"5,375"
,Vacant,808,424,108,25,72,34,55,-,"1,526"
"2014
(May)",Sanctioned,"2,944","2,170",784,66,264,539,496,499,"7,762"
,Filled-up,"2,113","1,642",644,40,177,501,439,473,"6,029"
,Vacant,813,528,140,26,87,38,57,26,"1,733"
"2015
(Dec)",Sanctioned,"2,944","2,172",785,66,286,540,497,500,"7,790"
,Filled-up,"2,106","1,629",623,38,171,484,432,462,"5,945"
,Vacant,438,543,162,28,115,56,65,38,"1,445"
