0,1,2
"Table 10. Training/workshop/seminar
organized by EPR program of NCDC of the
DGHS, with support from WHO during
January 2012-June 2016",,
Activity,"No. of
training
sessions
held","No. of
partici-
pants"
"Workshop on
comprehensive health-
sector emergency
preparedness
and response for health
and disaster management
professionals",7,245
"Training on public-health
risks and interventions in
emergencies for
health professionals",6,210
"Training on prevention
and control of post-disaster
communicable diseases for
health professionals",4,140
Health cluster meetings,6,180
"Training on risk
communication for health
professionals",2,74
"TOT on emergency medical
services for master trainers",3,110
"Training on search,
rescue, and evacuation for
community-level health
workers",3,105
"Advanced training on
psychosocial health for
health professionals",2,68
"Workshop on EPR and
post-disaster health
management for doctors,
nurses, paramedics, and
fieldworkers at upazila level",300,"14,000"
"Training on health
emergency preparedness
and response for primary
healthcare-level physicians
from disaster-prone
districts",48,1350
