0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5102,F,71.55,67.95,78.25,34.25,95.05,17.16,17.15,90.34,76.14,83.05,94.35,72.14,28.85,95.73,81.14,61.36,56.76,57.36,44.46,54.75,32.96,41.25
,M,38.44,42.04,31.74,75.74,14.94,92.83,54.84,19.65,33.85,26.94,15.64,37.85,81.14,14.26,28.85,48.63,53.23,52.63,65.53,55.24,77.03,68.74
4102,F,63.04,92.93,86.74,96.45,82.74,91.45,67.05,83.44,57.94,80.74,72.74,75.35,55.35,59.64,83.56,83.56,76.66,98.75,05.76,19.56,,93.94
,M,46.95,17.06,23.25,1354,27.25,18.54,42.94,26.55,52.05,29.25,37.25,34.64,54.64,50.35,26.43,26.43,33.33,11.24,05.23,90.43,,16.05
3102,F,31.54,28.64,91.54,45.95,32.64,20.45,68.24,18.83,84.65,55.45,73.34,47.84,07.84,,,,,76.66,22.55,78.06,,11.74
,M,78.45,81.35,18.45,64.04,77.35,89.54,41.75,91.16,25.34,54.54,06.65,62.15,03.15,,,,,33.33,47.44,31.93,,98.25
2102,F,90.04,29.83,90.63,93.44,46.83,00.04,58.24,48.63,24.05,96.74,60.74,71.03,49.36,,,,,48.35,28.55,65.24,,23.44
,M,09.95,70.16,9.36,6.55,53.16,00.06,41.75,51.36,75.94,3.25,49.25,28.96,50.63,,,,,76.14,81.44,74.75,,86.55
1102,F,18.25,49.24,9.34,38.74,93.84,85.54,18.54,38.15,76.64,99.65,25,5.74,41.75,,,,,94.35,91.17,32.96,,28.94
,M,91.74,60.75,1.65,71.25,16.15,24.45,91.45,71.84,33.35,10.34,84,5.25,68.24,,,,,15.64,18.82,77.03,,81.05
"egelloc
latned
ro
lacidem
fo
emaN",,"egelloC
lacideM
akahD","egelloC
lacideM
hallumilaS
riS","egelloC
lacideM
ihahsjaR","egelloC
lacideM
rupgnaR","egelloC
lacideM
hgnisnemyM","egelloC
lacideM
gnogattihC","tehlyS
,egelloC
lacideM
inamsO
GAM","lasiraB
,egelloC
lacideM
algnaB-e-rehS","egelloC
lacideM
rupdiraF","argoB
,egelloC
lacideM
RZS","egelloC
lacideM
rupjaniD","egelloC
lacideM
anluhK","egelloC
lacideM
allimoC","akahD
,egelloC
lacideM
ydrawarhuS
deehahS","anbaP,egelloC
lacideM
anbaP","egelloC
lacideM
ilahkaoN","egelloC
lacideM
razaB
s’xoC","egelloC
latneD
akahD","egelloC
latneD
gnogattihC","egelloC
latneD
ihahsjaR","egelloC
lacideM
erosseJ",llarevO
