0,1,2,3,4,5,6,7,8,9,10
Division,Name of institute with location,Estd.,Discipline,,,,,,,Total
,,,LAB,"RDL/
RDT",PTY,DENT,PHAR,Other1,Other2,
Rajshahi,"Morning Glory Medical Assistant Training School,
Shibtola, Chapainowabganj",2011,25,0,0,0,25,0,0,50
,"Prime Institute of Science & Medical Technology,
Rangpur",2007,100,0,0,25,50,0,0,175
,"DAD Institute of Medical Technology, Dinajpur",2010,50,50,0,0,0,0,0,100
,"Birampur Institute of Medical Technology, Shimultoly,
Dinajpur",2012,50,0,0,50,0,0,0,100
,"Rangpur CT IMT, Kelabond CO Bazar, Rangpur",2012,40,0,0,30,"40 (Di-
ploma
in
Lab)",,0,95
,Rangpur CT Institute of Medical Technology. Rangpur,2011,40,30,25,25,25,0,0,145
Total no. of institutions=104,,"Total
seats",,,,,,,,13266
LAB= Laboratory; RDL=Radiology; PTY=Physiotherapy; SI=Sanitary inspection; DENT=Dentistry; PHAR=Pharmacy; RTY=Radiotherapy,,,,,,,,,,
