0,1,2
"Table 5.6. Number of major and minor surgeries performed at government specialized hospitals,
2023",,
Facility,Major surgery,Minor surgery
Kurmitola 500-bed General Hospital,"3,262","19,757"
"National Institute of Cancer Research and Hospital
(NICR&H)","2,477",522
National Institute of Cardiovascular Disease (NICVD),"3,606","16,851"
"National Institute of Diseases of the Chest & Hospital
(NIDCH)",842,"1,530"
National Institute of ENT,"1,925","6,811"
National Institute of Kidney Disease and Urology (NIKDU),"2,053","2,845"
National Institute of Neurosciences & Hospital (NINS&H),"3,972","1,579"
National Institute of Ophthalmology (NIO),"19,893","1,545"
"National Institute of Traumatology and Orthopaedic
Rehabilitation (NITOR)","25,771","20,304"
Shaheed Sheikh Abu Naser Specialized Hospital,725,212
"Sheikh Fazilatunnessa Mujib Eye Hospital and Training
Institute","8,355","22,526"
"Sheikh Hasina National Institute of Burn and Plastic
Surgery","5,544","5,483"
Sheikh Russel Gastroliver Institute & Hospital,795,769
Total,"79,220","100,734"
