0,1,2,3,4
Table continued...,,,,
"Sl.
no.",Sector/Topic,"Benchmark
year 2006*","Assessed
year 2023**",Remarks
6,Number of medical colleges and hospitals,39,110,282% 
,Public,14,37,264% 
,Private,24,67,279% 
,AFMC & AMC,1,6,600% 
7,Number of upazila-level hospitals,208,431,207% 
8,Number of nursing colleges and institutes,31,99,319% 
,Workforce,2006*,2023***,
9,Doctors in government services,"9,338","29,743",319% 
10,Nurses in government services,"13,602","40,831",300% 
11,Medical technologists in government services,"1,988","6,763",340% 
12,Total no. of registered doctors,"45,723****","141,999",311% 
13,Total no. of registered nurses,"21,715****","87,933",405% 
