0,1
"Table 4.10.1. Total number of health facilities in and around the FDMN camps supported by
health partners",
Type of facility,Number
Health Post,71
Primary Health Center,47
Community Clinic (MOHFW),10
Diarrhea Treatment Center (functional and standby),10
Field Hospital,04
Health and Family Welfare Center (MOHFW),05
Secondary health facilities (including surgical and non-surgical),08
Sub-center (MOHFW),04
Upazila HC and Sadar Hospital,03
Integrated Women Center,05
Women-friendly Spaces,29
Total,196
