0,1,2,3,4
Table 1.5. Mortality data of Bangladesh in 2023 (SVRS 2023),,,,
Crude death rate (per 1000 population),,,Neonatal mortality rate,
National,6.1,,Total (both sexes),20
Male,6.8,,Male,22
Female,5.5,,Female,17
Infant mortality rate,,,Rural,20
Total (both sexes),27,,Urban,16
Male,30,,"Maternal mortality ratio (per 100,000
livebirths)",
Female,24,,,
Rural,28,,Total,136
Urban,24,,Rural,157
Under-5 mortality rate,,,Urban,56 (*)
Total (both sexes),33,,Life-expectancy at birth (years),
Male,35,,Both sexes,72.3
Female,30,,Male,70.8
Rural,34,,Female,73.8
Urban,30,,,
