0,1,2,3,4,5,6,7,8
Table 4.9.4. A scenario of COVID-19 vaccination coverage in 2023,,,,,,,,
"Name of
vaccine",January 2023 (First),,,,31 December 2023,,,
,1st,2nd,3rd,4th,1st,2nd,3rd,4th
AstraZeneca,"20,769,391","19,503,707","1,596,8643",836,"20,769,467","19,505,767","16,004,193","1,341"
Pfizer,"22,567,024","21,368,713","30,961,783","201,825","22,657,429","21,706,921","33,046,643","3,140,865"
Sinopharm,"56,673,886","55,022,336","1,559,730",180,"56,825,866","55,430,661","1,870,444","22,177"
Moderna,"3,778,926","3,547,557","8,481,643",0,"3,778,926","3,547,557","8,481,643",0
Sinovac,"27,591,577","25,593,774","8,120,317",0,"27,592,020","25,594,174","8,121,842",343
Janssen,"579,925",,"15,973",0,"581,542",,"26,320",0
Comirnaty,"18,141,583","1,268,629",0,0,"19,298,231","15,821,673",0,0
All vaccines,"149,522,387","126,884,641","65,108,089","202,841","150,922,861","142,193,280","68,558,519","5,050,545"
