0,1,2,3,4,5,6,7,8,9,10
Table continued...,,,,,,,,,,
"Sl.
no.","Name of
medical
college
hospital",Outpatient visit,,Emergency visit,,Admission,,ALS,BOR,"Sanctioned
beds"
,,Male,Female,Male,Female,Male,Female,,,
14,"Shaheed
Suhrawardy
Medical
College
Hospital","294,102","310,755","53,282","42,153","14,794","17,843",6.3,102.4,"1,350"
15,"Shaheed
Taj Uddin
Ahmad
Medical
College
Hospital","241,763","270,445","73,816","76,733","33,814","37,219",3.2,117.8,500
16,"Shaheed
Ziaur
Rahman
Medical
College
Hospital,
Bogura","243,670","328,022","60,484","50,033","62,163","53,265",4.6,283.2,500
17,"Shahid Syed
Nazrul Islam
Medical
College
Hospital","154,114","169,187","38,298","42,032","30,153","34,366",3.3,108.7,500
18,"Sheikh
Hasina
Medical
College
Hospital,
Tangail","78,027","80,367","2,553","2,957","10,384","9,228",2.9,167.0,500
19,"Sher-e-
Bangla
Medical
College
Hospital","233,785","279,761","101,124","94,021","98,101","90,520",3.8,193.1,"1,000"
20,"Sir
Salimullah
Medical
College
Hospital","313,968","445,290","155,793","157,312","36,234","47,189",5.0,122.5,900
21,"Sylhet MAG
Osmani
Medical
College
Hospital","419,492","508,625","86,750","88,640","84,008","88,246",4.7,238.9,900
,Total,"5,957,996","6,703,627","1,426,979","1,356,079","1,235,412","1,236,701",4.2,161.0,"18,250"
