0,1,2,3,4
Table 1.2. Population and key demographic characteristics of Bangladesh,,,,
Population (based on PHC 2022),,,,
Total,171.0 million,,,
Male,83.91 million,,Female,87.09 million
Key demographic characteristics,,,,
Population density,"1,171 per sq.
km",,Sex ratio (M/F*100),96.3
"Annual population growth
rate (%)",0.69,,"Intercensal growth rate
(%)",1.12
Median age of the population (year),,,Child-Woman ratio,
Both sexes,26,,Total,371
Male,25,,Rural,387
Female,27,,Urban,325
Dependency ratio (%),,,,
Total,53.7,,,
0-14 years,44.2,,,
65+ years,9.4,,,
Rural (total),55.7,,,
