0,1
Brief History of the Expanded Program on Immunization (EPI),
7 April 1979,Formal launching of EPI in towns
1985,Phase-wise and countrywide expansion
1990,EPI service was available to all target groups
1995,"Activities toward Polio Eradication and Elimination of Maternal and
Neonatal Tetanus (MNT) started"
,VPD surveillance activities with WHO support started
1997,AFP and NT surveillance started
2003,Hepatitis B Vaccine was introduced
,AEFI at facility level initiated
2004,AD syringes were introduced
2006,Expansion of AEFI surveillance up to community level
2009,Hib Vaccine in pentavalent form was introduced
2012,MR Vaccine and Measles second dose were introduced
March 2015,PCV and IPV vaccinations were introduced
23 April 2016,tOPV switched to bOPV
November 2017,IPV switched to fIPV
March 2019,TT switched to Td
2019,"EPI Coverage Evaluation Survey (EPI CES) was conducted and report
was published"
February 2021,COVID-19 vaccination started
October 2023,HPV vaccination launched
