0,1,2,3,4,5,6,7,8
"Table4.5.2. Total samples collected on Leptospira spp. in, 2023",,,,,,,,
Name of hospital,2023,,,,,,,
,"Total no. of
patients","Line
listing","Total no.
of serum
samples","RDT
done","RDT
(+)","RDT
(-)","Follow-up
samples","Urine
samples"
"250-bedded District Sadar Hospital,
Habiganj","286,215",422,236,194,2,192,2,2
"250-bedded District Sadar Hospital,
Cox’s Bazar","605,808",684,230,200,-,200,-,-
"250-bedded General Hospital, Naogaon","434,031",516,179,147,6,141,-,5
"250-bedded Hospital, Patuakhali","159,543",442,210,200,1,199,-,-
"District Sadar Hospital, Satkhira","202,505",937,253,253,38,213,1,4
Dhaka Medical College Hospital,"1,447,222","1,520",223,196,12,184,1,-
"Uttara Adhunik Medical College
Hospital","219,882",209,99,99,16,83,2,3
"BITID, Chattogram","99,727",284,178,178,12,166,-,-
Total,"3,454,933","5,014","1,608","1,467",87,"1,378",6,14
