0,1,2
"Table 4.6.1. Routine activities on the promotion of health education, 2023",,
Installation of billboards beside highways in different districts,,
Number of billboards,Total space of billboards,Number of districts
11,"23,000 sq. ft.",11
Telecasting TV scroll on different health issues in different TV channels,,
Type of messages,Peak time,No. of days
TV news scroll,"2,250 minutes",500
,Off-peak time,
,"2,000 minutes",
Broadcasting health messages through FM radio,,
Topic,Number of radio jingles,Broadcasting time (minute)
"Lightening, thunderbolts, land-
slides, and flood",1,150 minutes
"Importance of healthful food,
rest, and exercise for preven-
tion of NCDs",1,120 minutes
"Prevention of food adulteration
to ensure food safety",1,150 minutes
Grand total,,420 minutes
